"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Angola","Female","333","332.87630","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Angola","Both sexes","372","372.38760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Angola","Male","391","391.12370","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Angola","Female","319","318.74530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Angola","Both sexes","355","354.51470","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Angola","Male","379","379.22390","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Angola","Female","308","308.11070","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Angola","Both sexes","343","343.21690","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Angola","Male","370","370.02910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Angola","Female","299","298.62910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Angola","Both sexes","334","333.87110","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Angola","Male","358","358.12030","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Angola","Female","288","288.27820","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Angola","Both sexes","323","322.70770","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Angola","Male","350","349.60750","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Angola","Female","279","278.81740","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Angola","Both sexes","314","313.70940","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Angola","Male","340","339.73900","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Angola","Female","267","266.94260","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Angola","Both sexes","303","302.83220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Angola","Male","329","329.43830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Angola","Female","256","255.91750","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Angola","Both sexes","292","292.15590","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Angola","Male","319","318.55700","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Angola","Female","245","244.60630","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Angola","Both sexes","281","281.04920","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Angola","Male","307","307.20030","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Angola","Female","233","233.28820","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Angola","Both sexes","270","269.70170","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Angola","Male","298","297.50860","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Angola","Female","224","223.80680","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Angola","Both sexes","260","260.10310","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Angola","Male","290","290.01630","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Angola","Female","217","217.49100","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Angola","Both sexes","253","253.18810","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Angola","Male","286","285.89720","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Angola","Female","214","213.73090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Angola","Both sexes","249","249.25010","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Angola","Male","282","281.80850","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Angola","Female","207","207.17170","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Angola","Both sexes","244","243.94670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Angola","Male","278","277.95650","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Angola","Female","203","202.67220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Angola","Both sexes","240","239.78460","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Angola","Male","275","275.21320","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Angola","Female","202","201.81510","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Angola","Both sexes","238","237.96940","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Albania","Male","133","133.36620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Albania","Female","76","76.43061","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Albania","Both sexes","106","106.09900","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Albania","Male","125","125.35380","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Albania","Female","73","72.83030","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Albania","Both sexes","100","100.41580","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Albania","Male","126","125.71910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Albania","Female","77","76.86173","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Albania","Both sexes","102","102.31760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Albania","Male","129","129.36000","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Albania","Female","82","82.29263","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Albania","Both sexes","107","106.75670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Albania","Male","127","127.31750","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Albania","Female","74","73.71202","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Albania","Both sexes","101","101.34000","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Albania","Male","125","124.82140","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Albania","Female","85","85.42049","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Albania","Both sexes","106","105.67530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Albania","Male","128","127.57800","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Albania","Female","72","72.41586","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Albania","Both sexes","101","100.71930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Albania","Male","130","129.74220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Albania","Female","72","71.52185","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Albania","Both sexes","101","101.32260","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Albania","Male","131","131.21980","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Albania","Female","72","72.09045","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Albania","Both sexes","102","102.21680","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Albania","Male","133","132.76340","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Albania","Female","72","71.89655","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Albania","Both sexes","103","102.81930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Albania","Male","134","133.56650","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Albania","Female","73","72.55406","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Albania","Both sexes","103","103.47600","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Albania","Male","134","133.62370","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Albania","Female","72","72.30515","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Albania","Both sexes","103","103.21770","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Albania","Male","130","129.54490","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Albania","Female","77","76.58421","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Albania","Both sexes","103","103.18800","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Albania","Male","127","126.58630","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Albania","Female","74","73.86739","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Albania","Both sexes","100","100.32860","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Albania","Male","124","124.08680","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Albania","Female","72","72.36141","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Albania","Both sexes","98","98.31907","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Albania","Male","118","117.75220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Albania","Female","66","66.45842","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Albania","Both sexes","92","92.23947","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Albania","Male","122","121.80180","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Albania","Female","71","71.09969","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Albania","Both sexes","96","96.40514","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Eastern Mediterranean","United Arab Emirates","Male","113","113.43740","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Eastern Mediterranean","United Arab Emirates","Female","88","88.32083","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Eastern Mediterranean","United Arab Emirates","Both sexes","107","106.85170","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Eastern Mediterranean","United Arab Emirates","Male","110","110.47360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Eastern Mediterranean","United Arab Emirates","Female","85","85.24986","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Eastern Mediterranean","United Arab Emirates","Both sexes","104","103.87870","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Eastern Mediterranean","United Arab Emirates","Male","108","107.55670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Eastern Mediterranean","United Arab Emirates","Female","82","82.14211","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Eastern Mediterranean","United Arab Emirates","Both sexes","101","100.85140","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Eastern Mediterranean","United Arab Emirates","Male","105","104.59630","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Eastern Mediterranean","United Arab Emirates","Female","79","78.85854","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Eastern Mediterranean","United Arab Emirates","Both sexes","98","97.74000","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Eastern Mediterranean","United Arab Emirates","Male","101","101.35820","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Eastern Mediterranean","United Arab Emirates","Female","75","74.97035","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Eastern Mediterranean","United Arab Emirates","Both sexes","94","94.32072","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Eastern Mediterranean","United Arab Emirates","Male","98","98.21651","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Eastern Mediterranean","United Arab Emirates","Female","71","71.09695","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Eastern Mediterranean","United Arab Emirates","Both sexes","91","91.03882","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Eastern Mediterranean","United Arab Emirates","Male","95","95.37532","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Eastern Mediterranean","United Arab Emirates","Female","68","67.68509","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Eastern Mediterranean","United Arab Emirates","Both sexes","88","88.39500","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Eastern Mediterranean","United Arab Emirates","Male","93","92.97249","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Eastern Mediterranean","United Arab Emirates","Female","65","65.09492","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Eastern Mediterranean","United Arab Emirates","Both sexes","86","86.18640","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Eastern Mediterranean","United Arab Emirates","Male","91","91.10853","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Eastern Mediterranean","United Arab Emirates","Female","64","63.53022","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Eastern Mediterranean","United Arab Emirates","Both sexes","85","84.51824","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Eastern Mediterranean","United Arab Emirates","Male","89","89.43895","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Eastern Mediterranean","United Arab Emirates","Female","62","62.40100","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Eastern Mediterranean","United Arab Emirates","Both sexes","83","82.97913","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Eastern Mediterranean","United Arab Emirates","Male","88","87.90246","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Eastern Mediterranean","United Arab Emirates","Female","61","61.48824","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Eastern Mediterranean","United Arab Emirates","Both sexes","81","81.48761","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Eastern Mediterranean","United Arab Emirates","Male","86","86.45079","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Eastern Mediterranean","United Arab Emirates","Female","61","60.67467","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Eastern Mediterranean","United Arab Emirates","Both sexes","80","80.28745","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Eastern Mediterranean","United Arab Emirates","Male","85","85.04562","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Eastern Mediterranean","United Arab Emirates","Female","60","59.85531","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Eastern Mediterranean","United Arab Emirates","Both sexes","79","79.04452","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Eastern Mediterranean","United Arab Emirates","Male","84","83.66241","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Eastern Mediterranean","United Arab Emirates","Female","59","58.95393","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Eastern Mediterranean","United Arab Emirates","Both sexes","78","77.72143","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Eastern Mediterranean","United Arab Emirates","Male","82","82.36175","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Eastern Mediterranean","United Arab Emirates","Female","58","58.06958","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Eastern Mediterranean","United Arab Emirates","Both sexes","76","76.39561","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Eastern Mediterranean","United Arab Emirates","Male","81","81.09374","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Eastern Mediterranean","United Arab Emirates","Female","57","57.18084","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Eastern Mediterranean","United Arab Emirates","Both sexes","75","75.03873","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Eastern Mediterranean","United Arab Emirates","Male","80","79.87030","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Eastern Mediterranean","United Arab Emirates","Female","56","56.32220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Eastern Mediterranean","United Arab Emirates","Both sexes","74","73.95345","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","Argentina","Male","183","182.93230","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","Argentina","Female","94","94.07677","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","Argentina","Both sexes","139","138.54190","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","Argentina","Male","181","181.46240","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","Argentina","Female","94","93.64468","","",""
