"Indicator","Data Source","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Upper-middle-income","Angola","2.82","2.81775","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Upper-middle-income","Angola","5.18","5.17680","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2014","Eastern Mediterranean","Low-income","Afghanistan","12.00","11.99863","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2013","Eastern Mediterranean","Low-income","Afghanistan","10.59","10.59129","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2012","Eastern Mediterranean","Low-income","Afghanistan","11.67","11.66898","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2011","Eastern Mediterranean","Low-income","Afghanistan","10.17","10.17411","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2010","Eastern Mediterranean","Low-income","Afghanistan","14.40","14.40415","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2009","Eastern Mediterranean","Low-income","Afghanistan","12.73","12.72897","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2008","Eastern Mediterranean","Low-income","Afghanistan","6.93","6.92609","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2007","Eastern Mediterranean","Low-income","Afghanistan","2.95","2.94919","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2006","Eastern Mediterranean","Low-income","Afghanistan","6.30","6.29711","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2005","Eastern Mediterranean","Low-income","Afghanistan","5.49","5.49062","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2004","Eastern Mediterranean","Low-income","Afghanistan","6.98","6.98491","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2003","Eastern Mediterranean","Low-income","Afghanistan","5.58","5.57518","","",""
"General government expenditure on health as a percentage of total government expenditure","Afghanistan note","Published","2002","Eastern Mediterranean","Low-income","Afghanistan","8.99","8.98703","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Europe","Upper-middle-income","Albania","7.19","7.18863","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Europe","High-income","Andorra","22.70","22.69979","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Europe","High-income","Andorra","19.50","19.49577","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Europe","High-income","Andorra","19.38","19.38070","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Europe","High-income","Andorra","22.85","22.84986","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Europe","High-income","Andorra","24.04","24.03935","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Europe","High-income","Andorra","25.10","25.09789","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Europe","High-income","Andorra","24.04","24.04151","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Europe","High-income","Andorra","19.31","19.30886","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Europe","High-income","Andorra","18.88","18.88418","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Europe","High-income","Andorra","22.32","22.32499","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Europe","High-income","Andorra","27.92","27.91530","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Eastern Mediterranean","High-income","United Arab Emirates","8.25","8.25271","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Eastern Mediterranean","High-income","United Arab Emirates","7.13","7.12947","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Eastern Mediterranean","High-income","United Arab Emirates","8.82","8.82266","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Eastern Mediterranean","High-income","United Arab Emirates","8.00","7.99759","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Eastern Mediterranean","High-income","United Arab Emirates","7.90","7.90034","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Eastern Mediterranean","High-income","United Arab Emirates","7.80","7.79805","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Eastern Mediterranean","High-income","United Arab Emirates","7.71","7.70752","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Eastern Mediterranean","High-income","United Arab Emirates","8.03","8.03451","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Eastern Mediterranean","High-income","United Arab Emirates","8.34","8.33684","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Eastern Mediterranean","High-income","United Arab Emirates","8.22","8.22277","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Eastern Mediterranean","High-income","United Arab Emirates","8.69","8.69487","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Eastern Mediterranean","High-income","United Arab Emirates","8.85","8.84678","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Eastern Mediterranean","High-income","United Arab Emirates","8.81","8.81003","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Eastern Mediterranean","High-income","United Arab Emirates","8.75","8.75461","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Europe","Upper-middle-income","Albania","7.08","7.07698","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Europe","Upper-middle-income","Albania","7.25","7.25259","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Europe","Upper-middle-income","Albania","7.19","7.19204","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Europe","Upper-middle-income","Albania","7.76","7.76290","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Europe","Upper-middle-income","Albania","9.18","9.17534","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Europe","Upper-middle-income","Albania","9.67","9.66766","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Europe","Upper-middle-income","Albania","9.04","9.04057","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Europe","Upper-middle-income","Albania","8.88","8.88017","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Europe","Upper-middle-income","Albania","8.37","8.36561","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Europe","Upper-middle-income","Albania","8.46","8.46326","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Europe","Upper-middle-income","Albania","8.46","8.46326","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Europe","Upper-middle-income","Albania","9.85","9.85079","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Europe","Upper-middle-income","Albania","9.71","9.71053","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Europe","Upper-middle-income","Albania","9.76","9.76242","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Europe","Upper-middle-income","Albania","9.37","9.36900","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Europe","High-income","Andorra","23.56","23.56391","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Europe","High-income","Andorra","23.84","23.83743","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Europe","High-income","Andorra","23.24","23.23850","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Europe","High-income","Andorra","28.70","28.70355","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Europe","High-income","Andorra","20.78","20.77702","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Europe","High-income","Andorra","19.08","19.07808","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Europe","High-income","Andorra","19.24","19.23782","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Europe","High-income","Andorra","19.99","19.99027","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Europe","High-income","Andorra","21.98","21.97569","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Eastern Mediterranean","High-income","United Arab Emirates","8.67","8.66969","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2014","Americas","High-income","Argentina","6.92","6.91697","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Europe","Lower-middle-income","Armenia","8.30","8.30391","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Europe","Lower-middle-income","Armenia","8.43","8.43478","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Europe","Lower-middle-income","Armenia","8.08","8.08459","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Europe","Lower-middle-income","Armenia","7.68","7.68096","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Europe","Lower-middle-income","Armenia","6.56","6.56335","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Europe","Lower-middle-income","Armenia","5.26","5.26358","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Europe","Lower-middle-income","Armenia","7.66","7.65761","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Europe","Lower-middle-income","Armenia","7.03","7.02800","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Europe","Lower-middle-income","Armenia","7.88","7.87953","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Europe","Lower-middle-income","Armenia","8.02","8.02397","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Europe","Lower-middle-income","Armenia","10.23","10.23427","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Europe","Lower-middle-income","Armenia","11.33","11.33176","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Europe","Lower-middle-income","Armenia","10.42","10.41633","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Europe","Lower-middle-income","Armenia","7.00","7.00309","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Europe","Lower-middle-income","Armenia","6.72","6.71988","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Europe","Lower-middle-income","Armenia","6.97","6.96733","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Europe","Lower-middle-income","Armenia","7.40","7.39885","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Europe","Lower-middle-income","Armenia","7.44","7.43875","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Europe","Lower-middle-income","Armenia","7.27","7.27373","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Europe","Lower-middle-income","Armenia","7.04","7.04462","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","1995","Americas","High-income","Antigua and Barbuda","12.90","12.89552","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","1996","Americas","High-income","Antigua and Barbuda","12.00","12.00000","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","1997","Americas","High-income","Antigua and Barbuda","12.00","12.00000","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Eastern Mediterranean","High-income","United Arab Emirates","8.68","8.67995","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Eastern Mediterranean","High-income","United Arab Emirates","8.69","8.68576","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Eastern Mediterranean","High-income","United Arab Emirates","8.70","8.69736","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Eastern Mediterranean","High-income","United Arab Emirates","8.70","8.69686","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Eastern Mediterranean","High-income","United Arab Emirates","8.69","8.69168","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","1995","Americas","High-income","Argentina","19.43","19.42933","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","1996","Americas","High-income","Argentina","18.26","18.25965","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","1997","Americas","High-income","Argentina","18.03","18.03378","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","1998","Americas","High-income","Argentina","17.88","17.88195","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","1999","Americas","High-income","Argentina","18.09","18.09488","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2000","Americas","High-income","Argentina","17.59","17.59265","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2001","Americas","High-income","Argentina","17.14","17.14336","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2002","Americas","High-income","Argentina","18.23","18.22622","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2003","Americas","High-income","Argentina","17.27","17.27175","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2004","Americas","High-income","Argentina","16.92","16.91734","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2005","Americas","High-income","Argentina","16.67","16.67159","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2006","Americas","High-income","Argentina","16.35","16.35093","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2007","Americas","High-income","Argentina","15.37","15.36737","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2008","Americas","High-income","Argentina","15.79","15.79489","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2009","Americas","High-income","Argentina","17.13","17.12723","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2010","Americas","High-income","Argentina","14.07","14.07340","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2011","Americas","High-income","Argentina","11.82","11.81500","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2012","Americas","High-income","Argentina","8.74","8.74129","","",""
"General government expenditure on health as a percentage of total government expenditure","Argentina note","Published","2013","Americas","High-income","Argentina","7.72","7.72305","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","1998","Americas","High-income","Antigua and Barbuda","12.00","12.00000","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2003","Western Pacific","High-income","Australia","16.32","16.32156","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2004","Western Pacific","High-income","Australia","16.95","16.94721","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2005","Western Pacific","High-income","Australia","16.95","16.94705","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2006","Western Pacific","High-income","Australia","17.13","17.13258","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2007","Western Pacific","High-income","Australia","17.48","17.48171","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2008","Western Pacific","High-income","Australia","17.21","17.20872","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2009","Western Pacific","High-income","Australia","16.78","16.77922","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2010","Western Pacific","High-income","Australia","17.11","17.11436","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2011","Western Pacific","High-income","Australia","17.65","17.65066","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2012","Western Pacific","High-income","Australia","17.31","17.31143","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2013","Western Pacific","High-income","Australia","17.31","17.31143","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2014","Western Pacific","High-income","Australia","17.31","17.31143","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Europe","High-income","Austria","12.67","12.67443","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Europe","High-income","Austria","12.70","12.70338","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Europe","High-income","Austria","13.76","13.75813","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Europe","High-income","Austria","13.92","13.92451","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Europe","High-income","Austria","14.32","14.31760","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Europe","High-income","Austria","14.51","14.50898","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Europe","High-income","Austria","14.63","14.62778","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Europe","High-income","Austria","15.01","15.01070","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Europe","High-income","Austria","15.07","15.07469","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Europe","High-income","Austria","14.49","14.49348","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Europe","High-income","Austria","15.67","15.66749","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Europe","High-income","Austria","15.75","15.74625","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","1999","Americas","High-income","Antigua and Barbuda","11.85","11.84539","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2000","Americas","High-income","Antigua and Barbuda","11.42","11.42216","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2001","Americas","High-income","Antigua and Barbuda","10.75","10.74757","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2002","Americas","High-income","Antigua and Barbuda","9.88","9.87862","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2003","Americas","High-income","Antigua and Barbuda","11.89","11.88616","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2004","Americas","High-income","Antigua and Barbuda","10.69","10.68640","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2005","Americas","High-income","Antigua and Barbuda","12.08","12.08303","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2006","Americas","High-income","Antigua and Barbuda","10.07","10.07190","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2007","Americas","High-income","Antigua and Barbuda","10.81","10.80806","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2008","Americas","High-income","Antigua and Barbuda","12.27","12.26852","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2009","Americas","High-income","Antigua and Barbuda","11.38","11.38425","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2010","Americas","High-income","Antigua and Barbuda","16.36","16.35557","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2011","Americas","High-income","Antigua and Barbuda","15.18","15.17566","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2012","Americas","High-income","Antigua and Barbuda","17.16","17.15826","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2013","Americas","High-income","Antigua and Barbuda","16.29","16.28771","","",""
"General government expenditure on health as a percentage of total government expenditure","Antigua and Barbuda note","Published","2014","Americas","High-income","Antigua and Barbuda","18.08","18.08452","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","1995","Western Pacific","High-income","Australia","14.92","14.92027","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","1996","Western Pacific","High-income","Australia","15.11","15.11368","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","1997","Western Pacific","High-income","Australia","15.97","15.97402","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","1998","Western Pacific","High-income","Australia","15.28","15.27887","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","1999","Western Pacific","High-income","Australia","15.49","15.48585","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2000","Western Pacific","High-income","Australia","16.00","16.00274","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2001","Western Pacific","High-income","Australia","15.70","15.69624","","",""
"General government expenditure on health as a percentage of total government expenditure","Australia note","Published","2002","Western Pacific","High-income","Australia","16.46","16.45629","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Europe","High-income","Austria","16.00","15.99878","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2012","Europe","Upper-middle-income","Azerbaijan","3.81","3.80518","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2013","Europe","Upper-middle-income","Azerbaijan","3.50","3.49570","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2014","Europe","Upper-middle-income","Azerbaijan","3.88","3.88256","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","1995","Africa","Low-income","Burundi","6.83","6.83172","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","1996","Africa","Low-income","Burundi","6.83","6.83172","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","1997","Africa","Low-income","Burundi","6.83","6.83172","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","1998","Africa","Low-income","Burundi","6.83","6.83172","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","1999","Africa","Low-income","Burundi","6.10","6.09985","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2000","Africa","Low-income","Burundi","7.13","7.13329","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2001","Africa","Low-income","Burundi","7.94","7.94332","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2002","Africa","Low-income","Burundi","7.89","7.88586","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2003","Africa","Low-income","Burundi","5.08","5.08413","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2004","Africa","Low-income","Burundi","8.81","8.80640","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2005","Africa","Low-income","Burundi","11.22","11.22026","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2006","Africa","Low-income","Burundi","12.81","12.80553","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2007","Africa","Low-income","Burundi","9.70","9.70207","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2008","Africa","Low-income","Burundi","8.15","8.15134","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2009","Africa","Low-income","Burundi","8.14","8.14217","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2010","Africa","Low-income","Burundi","13.47","13.46501","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2011","Africa","Low-income","Burundi","13.58","13.57864","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2012","Africa","Low-income","Burundi","14.06","14.05947","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2013","Africa","Low-income","Burundi","14.02","14.01828","","",""
"General government expenditure on health as a percentage of total government expenditure","Burundi note","Published","2014","Africa","Low-income","Burundi","13.19","13.18523","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Europe","High-income","Belgium","11.22","11.21885","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Europe","High-income","Belgium","11.80","11.79632","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Europe","High-income","Austria","16.21","16.20703","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Europe","High-income","Austria","16.09","16.09121","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Europe","High-income","Austria","15.91","15.90640","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Europe","High-income","Austria","16.18","16.18288","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Europe","High-income","Austria","16.30","16.29662","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Europe","High-income","Austria","16.33","16.33092","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Europe","High-income","Austria","16.27","16.27326","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","1995","Europe","Upper-middle-income","Azerbaijan","6.93","6.93310","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","1996","Europe","Upper-middle-income","Azerbaijan","8.43","8.42568","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","1997","Europe","Upper-middle-income","Azerbaijan","6.59","6.59079","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","1998","Europe","Upper-middle-income","Azerbaijan","5.89","5.88636","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","1999","Europe","Upper-middle-income","Azerbaijan","5.71","5.71043","","",""
"General government expenditure on health as a percentage of total government expenditure","Azerbaijan note","Published","2000","Europe","Upper-middle-income","Azerbaijan","5.35","5.35368","","",""
